id,title,tags,contenttype,usedin,featured,url,educationalrole,author,publisher,inlanguage,license,licenseurl
45,elf in the forest,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/elf-in-the-forest.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
46,elf with a cut tree,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/elf-with-a-cut-tree.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
47,elf,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/elf.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
48,flags 2,,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/flags-2.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
49,flags,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/flags.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
50,flowers,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/flowers.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
51,foot step,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/foot-step.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
52,footsteps,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/footsteps.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
53,gift box,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/gift-box.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
54,glass,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/glass.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
